name,serial,ipv4,2.4Ghz_chan,5Ghz_chan,config_ver,map_id,map_x,map_y
Hall-1,o1-0096,10.0.3.194,1,40,0,0,50,50
Hall-2,o1-0097,10.0.3.195,1,40,0,0,50,50
Hall-3,o1-0098,10.0.3.196,1,40,0,0,50,50
Hall-4,o1-0099,10.0.3.197,1,40,0,0,50,50
Hall-5,o1-0100,10.0.3.198,1,40,0,0,50,50
Hall-6,o1-0101,10.0.3.199,1,40,0,0,50,50
Hall-7,o1-0102,10.0.3.200,1,40,0,0,50,50
Hall-8,n8t-0078,10.0.3.201,1,40,0,0,50,50
Hall-9,n8c-0013,10.0.3.202,1,40,0,0,50,50
Hall-10,n8c-0025,10.0.3.203,1,40,0,0,50,50
ExpoAW,o1-0103,10.0.3.204,1,40,0,0,50,50
ExpoA1,o1-0104,10.0.3.205,1,40,0,0,50,50
ExpoC1,o1-0105,10.0.3.206,1,40,0,0,50,50
ExpoB2,o1-0106,10.0.3.207,1,40,0,0,50,50
ExpoA3,o1-0107,10.0.3.208,1,40,0,0,50,50
ExpoC3,o1-0108,10.0.3.209,1,40,0,0,50,50
ExpoB4,o1-0109,10.0.3.210,1,40,0,0,50,50
game-1,o1-0110,10.0.3.211,1,40,0,0,50,50
game-2,o1-0111,10.0.3.212,1,40,0,0,50,50
game-3,o1-0112,10.0.3.213,1,40,0,0,50,50
lowconf-1,o1-0113,10.128.3.214,1,40,0,0,50,50
lowconf-2,o1-0114,10.128.3.215,1,40,0,0,50,50
lowconf-3,o1-0115,10.128.3.216,1,40,0,0,50,50
lowconf-4,o1-0116,10.128.3.217,1,40,0,0,50,50
lowconf-5,o1-0117,10.128.3.218,1,40,0,0,50,50
lowconf-6,o1-0118,10.128.3.219,1,40,0,0,50,50
lowconf-7,o1-0119,10.128.3.220,1,40,0,0,50,50
reghall-1,o1-0120,10.0.3.221,1,40,0,0,50,50
reghall-2,o1-0015,10.0.3.222,1,40,0,0,50,50
reghall-3,o1-0016,10.0.3.223,1,40,0,0,50,50
reghall-4,o1-0038,10.0.3.224,1,40,0,0,50,50
reghall-5,n8c-0001,10.0.3.225,1,40,0,0,50,50
Rm205-a,n8c-0030,10.128.3.226,1,40,0,0,50,50
