pacific-2,n8t-0072,c4:04:15:9b:5e:b4,10.3.0.76,1,48,0,0,50,50
pacific-3,n8t-0027,c4:04:15:8f:30:72,10.3.0.111,11,44,0,0,50,50
pacific-4,n8t-0105,08:bd:43:ac:5f:6c,10.3.0.64,1,48,0,0,50,50
pacific-5,n8t-0067,c4:04:15:9b:4c:03,10.3.0.13,1,36,0,0,50,50
plaza-10,n8c-0032,20:4e:7f:85:a8:40,10.3.0.63,11,44,0,0,50,50
plaza-11,n8c-0102,74:44:01:84:81:50,10.3.0.31,1,157,0,0,50,50
plaza-12,n8c-0018,44:94:fc:8c:f0:f8,10.3.0.42,11,153,0,0,50,50
plaza-13,n8c-0021,44:94:fc:7f:5f:23,10.3.0.25,1,36,0,0,50,50
plaza-14,n8c-0011,04:a1:51:9d:7b:14,10.3.0.54,11,153,0,0,50,50
plaza-15,n8c-0016,04:a1:51:ac:68:7d,10.3.0.45,11,165,0,0,50,50
plaza-16,n8c-0004,74:44:01:96:47:e4,10.3.0.51,11,44,0,0,50,50
plaza-1,n8c-0007,04:a1:51:8b:0f:f9,10.3.0.44,6,161,0,0,50,50
plaza-2,n8c-0042,2c:b0:5d:82:e7:ff,10.3.0.78,11,153,0,0,50,50
plaza-3,n8c-0019,74:44:01:96:55:2b,10.3.0.43,1,157,0,0,50,50
plaza-4,n8c-0001,20:4e:7f:91:a2:44,10.3.0.46,1,169,0,0,50,50
plaza-5,n8c-0099,74:44:01:81:72:8b,10.3.0.33,11,165,0,0,50,50
plaza-6,n8c-0017,44:94:fc:91:e9:36,10.3.0.39,11,44,0,0,50,50
plaza-7,n8c-0036,74:44:01:93:54:51,10.3.0.90,11,153,0,0,50,50
plaza-8,n8c-0029,28:c6:8e:c1:a9:ed,10.3.0.40,1,48,0,0,50,50
plaza-9,n8c-0044,74:44:01:7a:b7:95,10.3.0.5,6,149,0,0,50,50
sanlorenzoa-1,n8c-0002,2c:b0:5d:7f:63:72,10.3.0.49,1,36,0,0,50,50
sanlorenzoa-2,n8c-0028,74:44:01:71:dc:7f,10.3.0.35,6,173,0,0,50,50
sanlorenzoa-3,n8c-0010,04:a1:51:9b:a0:7e,10.3.0.52,1,48,0,0,50,50
sanlorenzoa-4,n8c-0013,20:4e:7f:91:b0:f9,10.3.0.53,6,149,0,0,50,50
sanlorenzob-1,n7a-0078,e0:46:9a:5a:c0:09,10.3.0.79,1,157,0,0,50,50
sanlorenzoc-1,n7a-0084,e0:46:9a:5a:e0:c4,10.3.0.37,1,36,0,0,50,50
sanlorenzoc-2,n7a-0079,e0:46:9a:5a:e0:6d,10.3.0.89,6,149,0,0,50,50
sanlorenzod-1,n7a-0092,e0:46:9a:5a:f0:24,10.3.0.93,11,165,0,0,50,50
sanlorenzod-2,n7a-0096,e0:46:9a:5a:bf:94,10.3.0.101,6,149,0,0,50,50
